电视剧名称,导演,主演,类型,制片国家/地区,年份,评分,评价人数
非亲兄弟,张友龄,孙松&&张凯丽&&朱亚文,剧情,中国大陆,2005,8.2,181
红莓花儿开,戴冰,保剑锋&&左小青&&法塔霍娃·奥列夏·阿列克桑德罗芙娜,,中国大陆,2009,8.2,171
SAMU的故事,森淳一,远藤樱&&早川圣来&&田村真佑&&挂桥沙耶香&&金川纱耶&&筒井彩芽&&矢久保美绪&&秋元真夏&&山本刚史&&村冈希美&&中岛步,剧情,日本,2020,8.2,142
骑士龙战队龙装者,上堀內佳夀也,尾碕真花&&金城茉奈&&綱啓永&&小原唯和&&岸田達也&&一之瀨颯,儿童&&奇幻,日本,2019,8.2,181
随性所欲,翠西亚·布洛克,Michaela Watkins&&Tommy Dewey&&Tara Lynne Barr,喜剧,美国,2015,8.1,4981
吃脑外星人,罗伯特·金,玛丽·伊丽莎白·温斯特德&&艾伦·特维特&&查理·瑟迈&&杰克·迪米奇&&格伦·弗莱施勒&&妮基·米歇尔·詹姆斯&&丹尼·皮诺&&威廉·罗格斯戴尔&&托尼·夏尔赫布&&凯莉·巴雷特&&埃德·莫兰&&尼克·波托兰宁,剧情&&喜剧&&惊悚,美国,2016,8.1,2815
超市特工,ZacharyLevi,Zachary Levi&&Yvonne Strahovski,剧情&&喜剧&&动作,美国,2010,8.1,2393
爷爷25岁,田中诚,藤原龙也&&大东骏介&&仓科加奈&&高桥克实&&温水洋一&&石桥莲司&&堀内敬子&&菊池桃子,家庭,日本,2010,8.1,2301
少男奶爸,DanBerendsen,,喜剧,美国,2014,8.1,2170
枪神,胡立德,吕颂贤&&万绮雯&&陈锦鸿&&罗烈&&吴毅将&&梁珊&&胡渭康&&戴耀明&&骆达华&&黄树棠&&何美婷&&王瀛&&郭峰&&韦家雄,剧情&&动作&&犯罪,中国香港,1993,8.1,1661
正义代书战士,武内英树,常盘贵子&&深津绘里&&山下智久&&阵内孝则&&保阪尚希&&筱原凉子&&冈田义德&&木村多江&&山田优&&国村隼&&金田明夫&&妻夫木聪,剧情,日本,2001,8.1,1604
剧场,杨文军,陈数&&翟天临&&孙淳&&种丹妮&&梁丽&&鲍大志&&师悦玲&&崔新琴&&霍璇&&常汝言&&李悦然&&张宁益&&孙浩浩&&李明震&&李涓&&上白&&邢城&&刘秀芝&&周荣&&胡嘉轩&&吴济如&&邱浩&&冯丹菊&&于翔&&徐艺芳&&郭沫&&刘乃强&&翟晓鸣&&邓钢&&王涵&&麻骏&&李德龙&&鲁莽&&牟芮&&白鹭&&孔明&&胡姐&&麻雅娜,剧情&&爱情&&历史,中国大陆,2014,8.1,1743
背叛,张前,巍子&&许晴&&张唏&&张东升&&张立&&陈刚,剧情,中国大陆,2000,8.1,1489
八月桂花香,鞠觉亮,刘松仁&&苏明明&&沈孟生&&米雪&&萧大陆&&李立群 Lichun Lee&&江明 Ming Chiang&&谢祖武,剧情,中国台湾,1988,8.1,1328
天蚕变之再与天比高,萧笙,徐少强&&惠天赐&&雪梨&&尹天照&&罗颂华&&蔡晓仪,剧情&&动作&&古装,中国香港,1993,8.1,1288
超能少年,约瑟夫·吉尔根,约瑟夫·吉尔根&&娜塔莎·奥基弗&&Karla Crome&&Nathan McMullen&&马特·斯托克,剧情&&喜剧&&奇幻,英国,2013,8.1,877
那些特立独行的猪,李洪绸,安宁&&赵宁&&杨羽&&黎伟&&姚梦&&车志刚&&纪登超&&孙宵,爱情,中国大陆,2012,8.1,937
浪迹天涯,刘二威,吴若甫&&咏梅&&李小冉&&张明健&&陶慧敏&&吴佳尼,剧情&&古装,中国大陆,2002,8.1,888
十二猴子,TerryMatalas,亚伦·斯坦福&&阿曼达·舒尔&&柯克·埃斯沃多&&巴巴拉·苏科瓦&&埃米丽·汉普希尔,剧情&&爱情&&科幻&&悬疑,美国,2017,8.1,739
放课后,星护,观月亚理莎&&石田壹成&&諸岡菜穂子&&葛山信吾&&河相我闻&&阿久津健太郎&&武田真治&&筱原凉子,喜剧&&爱情,日本,1992,8.1,563
吉尔莫女孩：生命中的一年,丹尼尔·帕拉迪诺,劳伦·格拉汉姆&&阿丽克西斯·布莱德尔&&斯科特·帕特森&&凯利·毕晓普&&罗斯·阿卜杜&&安庆名惠子&&马特·朱克瑞&&Yanic Truesdale&&弗兰克·加列戈斯&&索菲娅·罗萨莱斯&&胡里奥·乌马那&&肖恩·古恩&&托德·劳&&迈克尔·温特斯&&雷·怀斯&&阿里斯·阿瓦拉多&&梅丽莎·麦卡西,剧情&&喜剧,美国,2016,8.1,629
夏空,木村隆文,广濑铃&&冈田将生&&草刈正雄&&松岛菜菜子&&藤木直人&&清原翔&&福地桃子&&小林隆&&音尾琢真&&安田显&&高畑淳子&&仙道敦子&&山田裕贵&&户次重幸&&小林绫子&&吉泽亮&&犬饲贵丈&&工藤阿须加&&中原丈雄&&北乃绮&&富田望生&&柄本佑&&内村光良,剧情&&爱情&&家庭,日本,2019,8.1,834
侦探成旭之千年迷局,刘逢声,于荣光&&王力可&&唐于鸿&&许凝,悬疑&&犯罪&&冒险,中国大陆,2008,8.1,553
大医院小医师,王小棣,蓝正龙&&江祖平&&马志翔&&窦智孔,,中国台湾,2000,8.1,496
危险旅程,沈涛,王姬&&石凉&&温峥嵘&&颜丹晨&&白石千&&杨曼琴&&薛山&&由立平&&周文健&&郑铮&&石琳&&刘卫华&&李红&&胡晓宾,,中国大陆,2001,8.1,490
永不放弃,郑晓龙,江珊&&李幼斌&&朱琳&&柏寒&&颜丙燕&&于洋&&张喜前&&赵玲琪&&许正廷&&王亚军&&王英杰&&李宜娟&&张萍&&李华&&杨御&&李林檀&&李壁含&&易硕&&迟国栋&&苗皓钧&&石天生&&耿小林&&王澜&&何涛&&张大伟&&姜仁良&&曹操&&张海燕&&尹逸尘&&吴旭&&常天马&&张英敏,剧情,中国大陆,2001,8.1,460
百味超市,贾斯汀·斯皮泽,亚美莉卡·费雷拉&&本·费德曼&&劳伦·阿什&&科尔顿·邓恩&&妮科尔·布鲁姆&&马克·麦金尼&&迈克尔·布尼恩,喜剧,美国,2016,8.1,485
加油站,波莉雀娅·彭娜妮可,波莉雀娅·彭娜妮可,爱情,泰国,2016,8.1,264
圣水湖畔,何庆魁,高秀敏&&雷恪生&&王红梅&&邹德江&&郭铁城&&李威&&于莉红&&傅百良&&何树成&&李萱&&姜文艺&&陈相贵&&姚义辉,,中国大陆,2005,8.1,212
一千个晚安,陈戎晖,张栋梁&&连俞涵&&李宗霖&&姚爱宁&&陈博正&&苗可丽&&龙劭华&&朱陆豪&&林逸欣&&罗北安&&杨洁玫&&张琼姿&&陈庭萱,剧情,中国台湾,2019,8.1,254
新网球王子,川口敬一郎,甲斐田雪&&森久保祥太郎&&皆川纯子&&置鲇龙太郎&&近藤孝行&&津田健次郎&&高桥广树&&川本成&&小野坂昌也&&喜安浩平&&永井幸子&&楠大典&&竹本英史&&増田裕生&&津田英佑&&高桥直纯&&桧山修之,,日本,2019,8.1,58
约会男女,约翰·梅布里,奥娜·卓别林&&威尔·梅勒&&Annie Hulley&&本·卓别林&&谢里丹·史密斯&&安德鲁·斯科特&&Neil Maskell&&Greg McHugh&&凯蒂·麦克格雷斯&&嘉玛·陈&&Montana Thompson&&Sian Breckin,剧情,英国,2013,8.0,5810
绛红雪白的花瓣,马克·穆登,萝玛拉·嘉瑞&&阿曼达·哈尔&&克里斯·奥多德&&吉莲·安德森&&理查德·E·格兰特&&布莱克·瑞特森&&马克·加蒂斯 Mark Gatiss&&雪莉·亨德森,剧情&&爱情,英国,2011,8.0,4205
彩虹罗曼史,李兴宇金民植,林恩京&&李民基&&金希澈&&金起范&&宋恩彩&&高雅拉&&徐在京,喜剧,韩国,2005,8.0,3135
上海往事,丁亚民,刘若英&&赵文瑄&&寇振海&&严晓频&&茹萍&&王琳,剧情&&传记,中国大陆,2004,8.0,1977
十三号仓库,JaneEspenson,埃迪·麦克林托克&&乔安妮·凯莉&&绍尔·鲁宾内克,剧情&&科幻&&悬疑,美国,2012,8.0,2196
名利场,MarcMunden,娜塔莎·里特&&弗兰西丝·格雷&&菲利普·格伦尼斯特&&内森奈尔·帕克&&杰里米·斯威夫特&&汤姆·沃德&&安东·莱瑟,剧情&&家庭&&古装,英国,1998,8.0,1521
海滩救护队,格雷戈里·J·博纳,帕米拉·安德森&&大卫·哈塞尔霍夫&&埃丽卡·埃伦尼克,剧情&&动作&&冒险,美国,1989,8.0,1608
日瓦戈医生,吉亚科莫·卡姆皮奥迪,山姆·尼尔&&亚历山德拉·玛丽亚·拉娜&&Sam MacLintock&&Daniella Byrne&&Nick Stewart&&杰瑞米·克莱德&&达尼埃莱·利奥蒂&&安-玛莉·杜芙&&玛瑞·亚达波&&Robert Orr&&克里斯·马歇尔&&卡雷尔·多布雷&&David Fisher&&休·博纳维尔&&John Comer&&西尔维娅·西姆斯&&Jan Travnicek&&Rudolf Pellar&&安娜·鲁斯特&&帕维尔·克里兹&&里克·沃登&&西莉亚·伊姆里&&凯拉·奈特莉&&汉斯·麦瑟逊&&比尔·帕特森&&詹姆斯·巴伯森 &&Ivo Novák,剧情&&爱情&&战争,英国,2002,8.0,1467
追踪者,赵南国,张申英&&金相中&&孙贤周&&高俊熙&&柳承秀&&朴孝朱&&徐荣柱,剧情&&犯罪,韩国,2012,8.0,1787
权力的猴戏,安迪·汉密尔顿,格温妮丝·凯沃斯&&凯文·麦克纳利&&安迪·尼曼&&雅奇·潘嘉比&&亚历克·乌特戈夫&&本·威尔邦德&&阿米莉亚·布摩&&安东尼·凯尔夫,剧情&&喜剧,英国,2016,8.0,1500
地狱天使,李艳芳,张可颐&&陈启泰&&苏玉华&&关宝慧,剧情&&惊悚,中国香港,1996,8.0,1052
情丝万缕,PongpatWachirabunjong,阿提查·春那侬&&泰莎昂·派索克乔纶,剧情&&爱情&&历史&&奇幻&&古装,泰国,2011,8.0,632
天蚕变,麦当雄,徐少强&&顾冠忠&&苗可秀&&余安安&&伍卫国&&马敏儿&&张瑛&&鲍汉琳&&梁天&&杨泽霖&&韩义生&&蔡琼辉&&刘纬民&&麦天恩&&张玛莉&&罗乐林&&甘山&&文千歲&&刘国诚&&柳影红&&刘江,动作,中国香港,1979,8.0,565
人生请病假,马特·利普西,鲁伯特·格林特&&尼克·弗罗斯特&&皮帕·贝内特-华纳&&玛拉马·科利特&&卡尔·特奥巴德&&丹尼尔·里格比&&伯琳达·斯图尔特·威尔逊&&Camilla Beeput&&琳赛·洛翰&&唐·约翰逊&&达斯汀·德姆瑞·伯恩斯&&戴维·坎恩&&米尔斯·理查森&&Alison King&&婉妲·奥普琳斯卡&&保罗·布莱克维尔&&洛利·阿德福普&&拉斯科·阿特金斯&&霍纳·妮芙茜&&大卫·厄尔&&彼得·辛格,喜剧,英国,2017,8.0,430
霹雳侠影之轰掣天下,王嘉祥,,剧情&&动作&&奇幻&&武侠,中国台湾,2013,8.0,414
江湖俏佳人,邵芳,钟丽缇&&梁冠华&&魏宗万,剧情&&古装,中国大陆,2004,8.0,358
后宫那些事儿第一季,董润年,吴弘&&李北岳&&康宁&&秦语,喜剧&&悬疑&&短片&&古装,中国大陆,2014,8.0,321
王保长新篇Ⅱ死去生来,陈福黔,李保田&&王大安&&刘亚津&&何音,剧情&&喜剧,中国大陆,2007,8.0,285
群魔,弗拉基米尔·霍金年科,马克西姆·马特维耶夫&&安东·沙金&&谢尔盖·马科韦茨基&&Vladimir Zaytsev&&Igor Kostolevskiy&&亚历山大·加利宾&&娜婕达·马尔基纳&&Maria Shalayeva&&Ivanna Petrova&&叶甫盖尼·特卡丘克&&Maria Lugovaya&&Fyodor Lavrov&&Aleksey Kirsanov&&鲍里斯·卡莫尔津&&Natalya Shvets&&奥列格·瓦西里科夫&&Pavel Vorozhtsov&&Aleksandr Korotkov&&Vyacheslav Chepurchenko,剧情&&悬疑,俄罗斯,2014,8.0,255
网球并不可笑嘛,板垣伸,花泽香菜&&三森铃子&&鸣海杏子&&渡部优衣,喜剧,日本,2016,8.0,145
超市秘密第二季,,,,英国,2017,8.0,81
我的前任日记,林艺恩,林艺恩&&李道谦&&金旭,爱情,韩国,2018,7.9,77
超市特工,McG,扎克瑞·莱维&&维克·萨海&&亚当·鲍德温&&莎拉·兰卡斯特&&约书亚·戈麦兹&&伊冯娜·斯特拉霍夫斯基&&李升熙,剧情&&喜剧&&动作,美国,2007,7.9,9024
义经,黛りんたろう,泷泽秀明&&石原里美&&伊藤淳史&&加藤雅也&&渡哲也&&松坂庆子&&后藤真希&&今井翼&&小泉孝太郎&&上户彩&&中井贵一&&松平健&&神木隆之介,剧情&&动作&&爱情&&传记&&历史&&战争,日本,2005,7.9,1871
远古入侵,JamiePayne,Douglas Henshall&&Juliet Aubrey&&Ben Miller&&Lucy Brown,动作&&科幻&&奇幻&&冒险,英国,2008,7.9,1569
垂涎之岛,洪忠灿,徐雨&&林周焕&&黄灿彬,剧情&&冒险&&古装,韩国,2009,7.9,1272
十二猴子,大卫·格罗斯曼,亚伦·斯坦福&&阿曼达·舒尔&&柯克·埃斯沃多&&托德·斯塔什维克&&埃米丽·汉普希尔&&巴巴拉·苏科瓦&&布兰登·柯伊尔&&艾莉森·多恩&&斯考蒂·汤姆森&&大卫·里士满-佩克&&安德里亚斯·艾波吉斯&&比利·麦克莱伦,剧情&&科幻&&悬疑&&惊悚&&冒险,美国,2016,7.9,1257
守望幸福,曾曉欣,鲁园&&刘之冰&&茹萍&&史兰芽&&吕晓禾&&王丽云&&杜宁林&&曹翠芬&&苗皓钧,剧情&&家庭,中国大陆,2005,7.9,548
国家干部,苏舟,王志文&&杜雨露&&巫刚&&罗海琼&&冯恩鹤&&宇秋&&于东江,剧情,中国大陆,2005,7.9,561
喜新不厌旧,KenyaBarris,安东尼·安德森&&特雷西·埃利斯·罗斯&&雅拉·沙希迪&&马库斯·斯克里布纳&&迈尔斯·布朗&&马尔赛·马丁&&劳伦斯·菲什伯恩,喜剧,美国,2014,7.9,597
我本坚强,特斯塔姆·莎佩罗,艾丽·坎伯尔&&简·科拉克斯基&&泰塔斯·伯吉斯&&卡罗尔·凯恩,喜剧,美国,2016,7.9,592
老爸有招,安迪·卡帝夫,马特·勒布朗&&利兹·施耐德&&格蕾丝·考夫曼&&斯泰西·基齐&&凯文·尼龙&&维多利亚·嘉丝蒂&&Matt Cook&&Matthew McCann&&Hala Finley,喜剧,美国,2017,7.9,576
夏威夷特勤组,布莱恩·斯派克,艾历克斯·奥洛林&&斯科特·凯恩&&金大贤&&朴敏庆&&丘增&&伊恩·安东尼·代尔&&泰勒·维利&&豪尔赫·加西亚,剧情&&动作&&同性&&犯罪,美国,2015,7.9,512
警察世家,唐尼·沃尔伯格,唐尼·沃尔伯格&&汤姆·塞立克&&布丽姬·穆娜&&威尔·埃斯蒂斯&&兰·卡琉,剧情&&犯罪,美国,2011,7.9,504
夏威夷特勤组,布莱恩·斯派克,艾历克斯·奥洛林&&斯科特·凯恩&&金大贤&&朴敏庆&&丘增&&伊恩·安东尼·代尔&&泰勒·维利&&豪尔赫·加西亚,剧情&&动作&&同性&&犯罪,美国,2016,7.9,459
神圣使命,何群,张嘉译&&林龙麒&&黄曼&&赵小锐&&张兆北&&于震&&修宗迪,剧情&&犯罪,中国大陆,2011,7.9,465
大家族,刘家豪,万梓良&&朱江&&曾江,剧情,中国香港,1990,7.9,305
影子姐妹2012,KenPhoupom,Ken Phoupom&&Janie Tienpusawan&&Pip Rawit Terdwong,剧情,泰国,2012,7.9,253
奥斯汀与艾丽,KevinKopelow,罗斯·林奇&&劳拉·马兰洛&&卡勒姆·沃西&&莱妮·罗德里格兹,喜剧&&音乐&&儿童,美国,2011,7.9,262
炎神战队轰音者,渡辺勝也,古原靖久&&片岡信和&&逢沢りな&&碓井将大&&海老澤健次&&徳山秀典&&杉本有美&&及川奈央,动作,日本,2008,7.9,131
触摸未来,弗朗西斯·劳伦斯,基弗·萨瑟兰&&David Mazouz&&古古·姆巴塔-劳,剧情&&科幻,美国,2012,7.8,11254
在恒河游蝶泳,李斗士男,长泽雅美&&塚本高史&&中谷美纪&&石桥莲司&&竹下景子,剧情,日本,2007,7.8,3660
结婚十年,高希希,徐帆&&陈建斌&&史可&&洪剑涛&&牛莉&&肖雄&&吴京安&&牛星丽&&温玉娟&&杨树泉&&白志迪&&李欣凌&&王笑寒&&周小斌&&张建新&&徐涛&&吴明鸿&&王丽媛&&赵玉英&&林永健&&王世元&&金雅琴&&陈铮&&谭涛&&刘思言&&张宾&&姜超&&冯喆&&周冬齐&&程鹏&&倪青&&胡宁芳&&白玉&&梁震亚&&田玲&&杨青&&宋娜&&赵十月&&郭伦&&赵金鼎&&周光元&&张亚芳&&赵媛媛&&葛亚明&&张春年&&白志明&&刘晨&&马钰红,剧情,中国大陆,2002,7.8,3109
和平年代,张前,张丰毅&&尤勇&&陈锐&&于小慧&&高明&&吴越&&傅勇凡&&王茜华&&林永健,剧情,中国大陆,1996,7.8,2198
天使之刃,永山耕三,小出惠介&&仓科加奈&&若村麻由美&&手塚通&&和田正人&&千叶雄大&&藤本泉&&町田启太&&村上虹郎&&北村匠海&&清水寻也,剧情&&悬疑,日本,2015,7.8,2519
熟女镇,MichaelMcDonald,Courteney Cox&&Christa Miller&&Busy Philipps&&Josh Hopkins&&Dan Byrd&&Brian Van Holt&&Ian Gomez,喜剧,美国,2010,7.8,2399
不得安宁,爱德华·霍尔,海莉·阿特维尔&&米歇尔·道克瑞&&卢夫斯·塞维尔&&夏洛特·兰普林&&博迪·卡维尔&&迈克尔·刚本,剧情&&悬疑&&惊悚,美国,2012,7.8,2129
橘子郡男孩,IanToynton,本·麦肯锡&&亚当·布罗迪&&米莎·巴顿&&蕾切尔·比尔森,剧情&&喜剧&&爱情,美国,2004,7.8,1445
吸血鬼猎人巴菲,乔斯·韦登,莎拉·米歇尔·盖拉&&尼古拉斯·布兰登&&艾丽森·汉妮根&&查瑞丝玛·卡朋特&&安东尼·海德&&大卫·伯伦纳兹&&马克·梅特卡夫&&布莱恩·汤普森&&克里斯汀·萨瑟兰,剧情&&动作&&奇幻,美国,1997,7.8,1303
美丽心灵,毛完日,张赫&&朴素丹&&尹贤旻&&朴世荣&&许峻豪&&吴政世&&白承焕&&柳承秀&&柳承秀 Seung-su Ryu,剧情,韩国,2016,7.8,1515
千王之王,王天林,谢贤&&汪明荃&&任达华,动作&&爱情&&悬疑,中国香港,1980,7.8,903
将·军,郭靖宇,黄海波&&杨志刚&&陈数&&巍子&&江柏萱&&岳丽娜&&马静,剧情&&动作&&战争,中国大陆,2010,7.8,1035
你在微笑我却哭了,马俪文,高圆圆&&张志忠&&孙嘉一&&黄梅莹&&左翎&&文章&&刘欢&&田小洁&&林雨申&&石维坚&&盖克&&王柠&&宋宁峰&&李飞&&董为民&&苏勤&&杜军&&董玥,剧情&&家庭,中国大陆,2003,7.8,826
透明人间,吉野洋,香取慎吾&&深津绘里&&石田纯一&&黒木瞳,剧情&&喜剧&&奇幻,日本,1996,7.8,735
南方女王,戴夫·罗德里格斯,艾莉丝·布拉加&&赫米基·马德拉&&维罗尼卡·法尔孔&&赫拉多·塔拉塞纳&&贾斯蒂娜·马查多&&彼得·加迪尔特&&Jon-Michael Ecker,剧情&&动作&&惊悚,美国,2016,7.8,895
超人前传,格雷格·毕曼,汤姆·威灵&&克斯汀·克鲁克&&迈克尔·罗森巴姆,剧情&&科幻&&冒险,美国,2004,7.8,758
超人前传,TannerKling,Tom Welling,科幻,美国,2005,7.8,702
筑梦庄园,AumAtichart,Aum Atichart&&Kim Kimberly&&Nadech Kugimiya&&Yaya Usatsaya&&Mak Prin&&Mint Chalida,剧情&&爱情&&恐怖,泰国,2010,7.8,752
金锁记,穆德远,刘欣&&邵峰&&程前&&王劲松&&奚美娟&&刘永生&&李姝&&万茜&&岳秀清&&张龄心&&付瑶&&贾延鹏&&王千源&&李艾佳&&刘钊&&马精武&&吴竞&&刘希媛&&于承惠&&刘晓靓&&曹卫宇&&荆浩&&曹蓬&&黄爱玲&&袁佳平&&张棪琰,剧情&&爱情,中国大陆,2002,7.8,705
不要换台！,本广克行,芳根京子&&饭岛宽骑&&宮下加奈子&&吉田拓郎&&森崎博之&&安田显&&户次重幸&&大泉洋&&音尾琢真&&铃井贵之&&大鹰明良&&酒井敏也&&吉本菜穂子&&泉谷茂&&根岸季衣,喜剧,日本,2019,7.8,761
还我今生,黄国辉,江华&&吕颂贤&&米雪&&刘丹&&郭锋&&蔡晓仪&&刘锦玲&&杨玉梅&&严秋华&&杨群&&李泳汉&&李泳豪&&唐宁&&施介强&&施明&&谭少英&&冯国&&刘宗基&&万斯敏&&郑恕峰&&萧亮&&丁樱&&陈丽云&&邓德光&&曾赞安&&石中玉&&杨嘉乐&&李阳春,剧情,中国香港,1991,7.8,565
泰版匆匆那年,SakonTiacharoen,提顶·玛哈由踏纳&&安苏玛琳·瑟拉帕萨默莎&&查澈威·德查拉朋&&纳塔西特·科蒂马努瓦尼&&苏维察·涩班纳芬,剧情&&爱情,泰国,2019,7.8,774
魔奇少年,宮尾佳和,小野大輔&&杉田智和&&石田彰&&茅野愛衣&&小西克幸&&日笠陽子&&子安武人&&東地宏樹&&櫻井孝宏&&藤原啓治&&藤村歩,,日本,2016,7.8,586
豺狼之吻,大卫·帕斯特尔,肖恩·蒂尔&&艾莉森·米勒&&艾迪·拉莫斯&&朱莉娅·奥蒙德&&丹尼斯·海斯伯特&&达蒙·海瑞曼&&伊安·崔西&&罗伯·斯特尔特,剧情&&科幻&&犯罪,美国,2016,7.8,656
Hello,TonyOliver,,,日本,1991,7.8,431
一代大商孟洛川,龚艺群,张桐&&柏寒&&杨冬&&刘栋&&张蓓蓓&&陈洁&&卢勇&&斓曦&&毛乐&&高兰村&&馨子&&佘南南,剧情&&传记,中国大陆,2009,7.8,419
源氏物语,鴨下信一,东山纪之&&大原丽子&&片冈孝夫,,日本,1991,7.8,373
月印,芘扎塔娜·翁沙纳塔纳辛,芘扎塔娜·翁沙纳塔纳辛,剧情&&爱情,泰国,2019,7.8,469
中华英雄,招振强,何家劲&&罗颂华&&关咏荷&&叶玉卿&&杨泽霖&&尹天照&&关珍妮&&陈冬梅&&刘云峰&&莫家尧,剧情&&动作&&武侠,中国香港,1990,7.8,321
胡迪尼与道尔,爱德华·巴瑟杰特,迈克尔·温斯顿&&史蒂芬·曼甘 &&戴安娜·奎克&&蒂姆·麦克纳尼&&诺亚·尤佩&&杰克博·布莱尔&&路易斯·德拉米尔&&丽贝卡·利迪亚德,剧情&&悬疑,英国,2016,7.8,296
相逢何必曾相识,光野道夫,浅野温子&&織田裕二&&佐藤浩市&&富田靖子&&七瀬なつみ&&ともさかりえ(友阪理惠)&&瀬戸朝香,,日本,1993,7.8,152
弗门丧歌,CathyVerney,罗曼·杜里斯&&席琳·赛莱&&洛朗·吕卡&&Flora Fischbach,剧情,法国,2019,7.8,151
橘子郡男孩,道格·里曼,本·麦肯锡&&米莎·巴顿&&亚当·布罗迪&&蕾切尔·比尔森,剧情&&喜剧&&爱情,美国,2003,7.7,7399
折翼的天使们2,木下高男,石原里美&&户田惠梨香&&加藤罗莎&&香里奈,剧情,日本,2007,7.7,4640
美丽曲线,索尔·迪勃,丹·史蒂文斯&&蒂姆·麦克纳尼&&艾丽丝·克里奇&&海莉·阿特维尔&&阿莱克斯·温德汉姆,剧情&&同性,英国,2006,7.7,3726
情书,姚天堂,徐静蕾&&李亚鹏&&莫少聪&&刘畊宏&&潘虹,爱情,中国大陆,1999,7.7,3123
海底两万里,罗德·哈迪,迈克尔·凯恩&&帕特里克·德姆西&&米娅·萨拉&&布莱恩·布朗&&阿德沃尔·阿吉纽依-艾格拜吉&&约翰·贝西&&尼古拉斯·哈蒙德,爱情&&科幻&&冒险,美国,1997,7.7,2633
我家的恶魔与天使,PeeraponThienjarern,Aum Patchrapa&&亚瑞克·阿莫苏帕西瑞,,泰国,2009,7.7,2458
平清盛,柴田岳志,松山研一&&中井贵一&&小日向文世&&玉木宏&&松田翔太&&藤木直人&&三上博史&&井浦新&&国村隼&&山本耕史&&阿部隆史&&中村梅雀&&上川隆也&&塔克·藤本&&大东骏介&&武井咲&&深田恭子&&加藤爱&&成海璃子&&檀丽&&松雪泰子&&和久井映见&&田中丽奈&&冈田将生&&杏&&吹石一惠,剧情&&历史&&古装,日本,2012,7.7,2904
卫斯理传奇,刘天富,陶大宇&&郑惠玉&&李南星&&林湘萍&&郭妃丽,科幻&&悬疑,中国香港,1998,7.7,1858
跟我的前妻谈恋爱,戚健,宋佳&&陈丽娜&&耿乐&&史光辉&&胡小庭&&刘培清&&刘冠军&&焦俊艳,爱情,中国大陆,2009,7.7,1962
天下无贼,侯咏,聂远&&秦海璐&&景岗山&&周晓鸥&&石兆琪&&尹媗&&国永振,犯罪,中国大陆,2011,7.7,1712
坏人们,松田秀知,米仓凉子&&上川隆也&&北村一辉&&笛木优子&&伊武雅刀,悬疑&&犯罪,日本,2007,7.7,1765
舞动奇迹,陈铭章,洪嘉玲&&张大镛&&陈亦飞&&曾安琪&&柯叔元&&林孟瑾&&隋棠&&杨洁梅,剧情&&爱情,中国台湾,2003,7.7,1537
远古入侵,托尼·米歇尔,道格拉斯·韩歇尔&&朱丽叶特·奥布瑞&&露茜·布朗&&本·米勒,动作&&科幻&&奇幻&&冒险,英国,2009,7.7,1582
巴比伦饭店,AndyHay,奈杰尔·哈曼&&Dexter Fletcher&&Anna Wilson-Jones&&Emma Pierson&&Martin Marquez&&Ray Coulthard&&Alexandra Moen&&Michael Obiora&&Danira Govic,剧情&&喜剧,英国,2009,7.7,1588
暗金丑岛君：超级出租车司机,远藤光贵,山田孝之&&秋山龙次&&千叶雄大&&神乐坂惠&&岩佐真悠子&&柳俊太郎&&きたろう&&崎本大海,剧情,日本,2014,7.7,1448
吧嗒吧嗒：他和她心跳的声音,金奎泰,郑雨盛&&韩智敏&&金汎&&罗文姬&&金俊成&&李宰宇,剧情&&爱情&&奇幻,韩国,2011,7.7,1590
橘子郡男孩,乔什·施瓦兹,本·麦肯锡&&亚当·布罗迪&&蕾切尔·比尔森&&彼得·盖勒&&凯利·罗万&&泰特·多诺万&&美琳达·克拉克,喜剧,美国,2006,7.7,1208
大学生同居的事儿,李洪绸,安宁&&赵宁&&杨羽&&黎伟&&姚梦&&车志刚&&纪登超&&孙宵&&李洪绸,喜剧,中国大陆,2008,7.7,1315
生者与死者,塞缪尔·多诺万,科林·摩根&&夏洛特·斯宾塞&&尼古拉斯·伍德森&&凯莉·海斯&&马尔科姆·斯托里&&克洛伊·皮里&&伊丽莎白·贝林顿&&大卫·奥克斯&&哈利·皮考克&&艾萨克·安德鲁斯&&菲奥娜·奥肖内西&&史蒂夫·奥拉姆&&罗伯特·埃姆斯&&大卫·斯特恩,剧情&&惊悚&&恐怖,英国,2016,7.7,1152
包青天,庄伟健,狄龙&&黄日华&&廖启智&&关咏荷&&蔡少芬&&邵美琪&&梁艺龄&&何美钿&&梁小冰&&唐宁&&米雪&&伍咏薇&&刘玉翠&&邝文珣&&温碧霞&&张延&&麦家琪&&吕颂贤&&陈锦鸿&&黎耀祥&&谭耀文&&古巨基,剧情&&动作&&悬疑&&武侠&&古装,中国香港,1995,7.7,884
假设性无罪,范荣笙,梁汉文&&王敏奕&&张慧仪&&雷琛瑜&&陈子丰&&楼南光&&陈俞希&&许博文&&邵仲衡&&董敏莉&&余逸思&&李昭南&&李建邦&&李彩宁&&英健朗&&李亦乔&&张满源&&陈郁宪&&杨英伟&&赵啟岚,剧情,中国香港,2019,7.7,1022
龙裔黑帮之老虎,庞帕特·沃希雷伯乔,阿南达·爱华灵咸&&金伯莉·安妮·田舍利,动作&&爱情&&犯罪,泰国,2015,7.7,844
