电视剧名称,导演,主演,类型,制片国家/地区,年份,评分,评价人数
大宋少年志,伊峥,张新成&&周雨彤&&郑伟&&王佑硕&&禾浩辰&&苏晓彤,悬疑&&古装,中国大陆,2019,8.2,115692
西部世界,乔纳森·诺兰,埃文·蕾切尔·伍德&&安东尼·霍普金斯&&艾德·哈里斯&&坦迪·牛顿&&杰弗里·怀特&&吉米·辛普森&&詹姆斯·麦斯登&&本·巴恩斯&&英格丽德·波尔索·贝达尔&&卢克·海姆斯沃斯&&西瑟·巴比特·科努德森&&安吉拉·萨拉弗安&&珊农·沃德华德&&西蒙·夸特曼&&小克利夫顿·克林斯&&罗德里戈·桑托罗&&奥利弗·贝尔&&莱昂纳多·吴&&詹姆斯·兰德里·赫伯特&&路易斯·赫特哈姆&&杰弗里·丹尼尔·菲利普斯&&泰莎·汤普森&&米兰达·奥图&&库里·格拉汉姆&&凯尔·柏海莫&&凯姬·迈克拉瑞&&奥利维亚·梅&&杰姬·摩尔&&妲露拉·莱莉&&史蒂文·奥格&&罗比·史密斯&&乔什·克拉克&&梅森·麦卡利&&布兰登·范弗利特&&莉娜·乔格斯&&吉米·索瑞茜莉,科幻&&西部,美国,2016,8.9,223037
去他*的世界,乔纳森·恩特威斯尔,杰西卡·巴登&&埃里克斯·劳瑟&&史蒂夫·奥拉姆&&杰玛·韦兰&&乌米·马萨库&&克里斯汀·博顿利&&纳温·乔杜里&&杰克·维尔&&乔纳森·阿里斯&&巴里·沃德&&凯莉·哈里森&&霍莉·比奇&&波丽·坎普&&亚历克斯·索耶&&伊莲恩·戴维斯&&凯利斯顿·韦勒英&&艾玛·阿普尔顿&&杰夫·贝尔&&玛格丽特·安·贝恩&&亚当·布朗&&亚历克斯·贝克特&&朱丽叶·考恩&&马特·金&&海韦尔·摩根&&利昂·阿诺&&加里·萨默斯&&莉莉·卡瓦纳&&西蒙·勒纳根&&泰勒斯·麦肯齐&&路易斯·温特&&厄尔·凯夫&&费莉西蒂·蒙塔古,剧情&&喜剧&&悬疑&&犯罪,英国,2017,9.1,208838
杀死伊芙,丽莎·布吕尔曼,吴珊卓&&朱迪·科默&&费奥纳·肖&&肖恩·德兰尼&&尼娜·索珊娅&&朱利安·巴拉特&&罗伊·贝克&&保罗·布莱克维尔&&爱德华·布卢梅尔&&亨利·劳埃德-休斯&&珊农·塔伯特&&欧文·麦克唐纳&&伊琳娜·莱蒂克&&埃琳娜·沙雷&&阿迪勒·阿赫塔尔,剧情&&惊悚&&犯罪,英国,2019,8.9,81195
欢乐颂,孔笙,刘涛&&蒋欣&&王子文&&杨紫&&乔欣&&祖峰&&王凯&&张陆&&靳东&&杨烁&&张晓谦&&郭晓然&&陈牧扬&&任伟&&宁文彤&&王永泉&&王宏&&丁勇岱&&吴昊宸&&穆丽燕&&冯晖&&谭希和&&刘敏涛&&张乃华&&康群智&&岳旸&&赵千紫&&王雯诗&&胡伊静&&隋雨蒙&&朱梦瑶&&石云鹏&&汤亦程&&王娜娜&&刘琳&&李雪婷&&戴美虹&&孙栋,剧情&&爱情,中国大陆,2016,7.4,192092
西游记,杨洁,六小龄童&&迟重瑞&&马德华&&汪粤&&徐少华&&闫怀礼&&朱龙广&&左大玢&&张志明&&章玉善&&王忠信&&许晴,剧情&&动作&&奇幻&&冒险&&古装,中国大陆,1986,9.6,169101
父母爱情,孔笙,郭涛&&梅婷&&王菁华&&郭广平&&张延&&刘琳&&任帅&&刘奕君&&娜仁花&&毕彦君&&贾延鹏&&关晓彤&&方慧&&黄诗佳&&张陆&&张龄心&&杨立新&&刘天池&&刘敏涛&&王永泉&&赵千紫&&杨司晨&&崔明浩&&石云鹏&&柳明明&&张娇娇&&陈雅熙&&张乐昊旻&&彭婧&&张琛&&李金江&&赵一龙&&郭鹏&&李超&&王宏&&张昕琦&&张昕瑶&&柳莹&&战鹤文&&陈旭&&黄海&&张九妹&&林龙麒&&王丹彤&&王天泽&&李小川&&吕添尧&&刘凌志&&杨晓丹&&张元戎&&黄岗&&王仪伟&&傅晓娜&&兰娟&&阚博&&蒋雯丽&&杨心仪&&江昊桐,爱情&&家庭,中国大陆,2014,9.5,138591
伪装者,李雪,胡歌&&靳东&&刘敏涛&&王凯&&宋轶&&王乐君&&王鸥&&刘奕君&&岳旸&&张棪琰&&郭晓峰&&松峰莉璃&&王铮&&高鑫&&郭虹&&平田康之&&朱梦瑶&&孙梦佳&&孙晨&&冯晖&&松浦敬之&&刘陆&&高正&&曲浩天&&冯千&&姚力烨&&王宏&&谢承颖&&史晓僮&&毕英杰&&柳洋&&桑帅&&王海龙&&郭彤彤&&臧晋&&孙征宇&&张巨明&&叶恺文,剧情&&悬疑,中国大陆,2015,8.5,175743
性爱自修室,本·泰勒,阿萨·巴特菲尔德&&吉莲·安德森&&舒提·盖特瓦&&艾玛·麦基&&康纳·斯温德尔&&凯达·威廉姆斯特灵&&艾米·卢·伍德&&钱尼尔·库勒&&塔尼娅·雷诺兹&&帕特里夏·艾莉森&&米卡埃尔·佩斯布兰特&&阿利斯泰·皮垂&&安-玛莉·杜芙&&詹姆斯·鲍弗&&斯蒂芬·弗雷&&吉姆·霍威克&&拉卡·塔克雷尔&&萨曼莎·斯毕洛&&萨米·瓦塔尔巴利&&乔治·罗宾森&&克里斯·詹克斯&&钦尼·埃祖杜&&汉娜·沃丁厄姆&&莎伦·邓肯-布鲁斯特&&西蒙娜·阿什利&&利诺·法希奥利&&米米·基恩&&米伦·麦克&&乔治·索纳&&泰尼亚·米勒&&莉莉·纽马克&&Lisa Palfrey&&Joe Wilkinson&&Doreene Blackstock&&George Georgiou&&Sarah Malin&&Myriam Acharki&&Jonny Muir&&Dee Ahluwalia,剧情&&喜剧,英国,2020,9.0,109015
太阳的后裔,李应福,宋慧乔&&宋仲基&&金智媛&&晋久&&李成俊&&温流&&太仁镐&&金玟锡&&姜信日&&赵在允&&大卫·麦金尼斯&&全秀珍&&玄朱妮&&朴俊琴&&崔雄,剧情&&爱情,韩国,2016,7.9,185590
